Missile_ID,Missile_Name,Alternate_Name,Country_of_Origin,Country_of_Possession,Missile_Class,Missile_Type,Length_m,Launch_Weight_kg,Warhead_Type,Range_min_km,Range_max_km,Year_Introduced,Operational_Status,Launch_Basing,Diameter_m,Payload_kg,Propulsion_Type,Notes,
PAK021,Exocet,AM-39,France,Pakistan,Anti-Ship Cruise Missile,Strike,4.69,670,HE,40,180,1985,Operational,Air/Ship,0.35,165,Solid propellant,French-origin; on Atlantique aircraft and surface ships,
PAK022,C-602,,China,Pakistan,Anti-Ship Cruise Missile,Strike,6.1,,HE,280,400,2015,Operational,Coastal defence/Ship,0.54,,Turbojet,Chinese-origin; MTCR-compliant variant,
PAK023,CM-302,,China,Pakistan,Supersonic Anti-Ship Missile,Strike,,,HE,290,290,2020,Operational,Ship,,,Ramjet,Chinese-origin YJ-12 variant; Mach 3.5,
PAK024,CM-400AKG,,China,Pakistan,Hypersonic Air-Launched Missile,Strike,,,HE,250,250,2015,Operational,Air,,,Solid propellant,Mach 5+; air-launched; anti-ship/land attack,
PAK025,YJ-21,,China,Pakistan,Hypersonic Anti-Ship Missile,Strike,,,HE,,,2020,Operational,Air/Naval,,,Solid/Ramjet,Chinese-origin; acquired by Pakistan,
PAK026,Bakhtar Shikan,HJ-8 derivative,China,Pakistan,Anti-Tank Guided Missile,ATGM,,,HE tandem shaped charge,3,5,2015,Operational,Man-portable/Vehicle,,,Solid propellant,Chinese HJ-8 license production,
PAK027,Green Arrow,,Pakistan,Pakistan,Anti-Tank Guided Missile,ATGM,,,HEAT,3,4,2010,Operational,Man-portable/Vehicle,,,Solid propellant,Licensed Baktar Shikan variant,
PAK028,Anza Mk-I/II/III,,Pakistan,Pakistan,Man-Portable Air Defense System,MAMPADS,1.5,,HE fragmentation,4,6,1995,Operational,Man-portable,0.072,,Solid propellant,Indigenous MANPADS; Mk-III most advanced,
PAK029,Hafr-1,,Pakistan,Pakistan,Artillery Rocket,Strike,,,HE/cluster,50,70,2010,Operational,Ground,,,Solid propellant,Part of MLRS inventory,
PAK030,Fatah-I,,Pakistan,Pakistan,Guided Artillery Rocket,Strike,,,HE,120,150,2023,Operational,Ground,,,Solid propellant,First of Fatah series; INS+GPS,
PAK031,Fatah-II (early version),,Pakistan,Pakistan,Guided Artillery Rocket,Strike,,,HE,120,120,2024,Operational,Ground,,,Solid propellant,Tested during Ex Indus 2024,
PAK032,P282,,Pakistan,Pakistan,Air-Launched Hypersonic Missile,Strike,,,,,In development,In development,Air,,,,,Air-launched ballistic missile capability under development,
CHN001,DF-1,CSS-1,China,China,Short-Range Ballistic Missile,Strike,,,,,Retired,Retired,Land-based,,,Liquid,Early Soviet R-2 derivative,,
CHN002,DF-2,CSS-1,China,China,Medium-Range Ballistic Missile,Strike,,,Nuclear,1250,1250,Retired,Retired,Land-based,,,Liquid,First Chinese indigenous ballistic missile,
CHN003,DF-3,CSS-2,China,China,Medium-Range Ballistic Missile,Strike,,,Nuclear,2800,5000,1988,Operational,Land-based TEL,,2150,Liquid,Exported to Saudi Arabia 1988,
CHN004,DF-4,CSS-3,China,China,Intercontinental Ballistic Missile,Strike,,,Nuclear,4750,5500,,Operational,Silo/Land-based,,2200,Liquid,Can reach European Russia,
CHN005,DF-5,CSS-4,China,China,Intercontinental Ballistic Missile,Strike,,,Nuclear,12000,13000,,Operational,Silo-based,,3200,Liquid,China's first true ICBM; MIRV-capable DF-5B/C variants,
CHN006,DF-5B,CSS-4 Mod 2,China,China,Intercontinental Ballistic Missile,Strike,,,MIRV nuclear,13000,13000,,Operational,Silo-based,,,Liquid,Multiple warhead variant,
CHN007,DF-5C,CSS-4 Mod 3,China,China,Intercontinental Ballistic Missile,Strike,,,MIRV nuclear,13000,13000,2025,Operational,Silo-based,,,Liquid,Declassified in 2025 parade,
CHN008,DF-11,CSS-7/M-11,China,China,Short-Range Ballistic Missile,Strike,,,Conventional/nuclear,300,600,,Operational,Mobile TEL,,800,Solid,Opposite Taiwan deployment,
CHN009,DF-15,CSS-6/M-9,China,China,Short-Range Ballistic Missile,Strike,,,Conventional/nuclear,600,900,,Operational,Mobile TEL,,725,Solid,Test-fired toward Taiwan 1995/96,
CHN010,DF-15C,CSS-6 Variant,China,China,Short-Range Ballistic Missile,Strike,,,Harden facility penetration,700,700,,Operational,Mobile TEL,,,Solid,For hardened targets,
CHN011,DF-17,CSS-Unknown,China,China,MRBM/Hypersonic,Strike,,,DF-ZF hypersonic glide vehicle,2500,2500,2019,Operational,Mobile TEL,,,Solid,First public display 2019; nuclear-capable,
CHN012,DF-21,CSS-5,China,China,Medium-Range Ballistic Missile,Strike,,,Nuclear/conventional,1800,2500,,Operational,Mobile TEL,,1300,Solid,Land-based JL-1 variant,
CHN013,DF-21A,CSS-5 Mod 2,China,China,Medium-Range Ballistic Missile,Strike,,,Conventional,2000,2000,,Operational,Mobile TEL,,2000,Solid,Conventional variant,
CHN014,DF-21D,CSS-5 Mod 5,China,China,Anti-Ship Ballistic Missile,Strike,,,Conventional/nuclear,2150,2150,,Operational,Mobile TEL,,,Solid,Anti-ship ballistic missile (carrier killer),
CHN015,DF-26,CSS-Unknown,China,China,Intermediate-Range Ballistic Missile,Strike,,,Conventional/nuclear,4000,5000,,Operational,Mobile TEL,,,Solid,Guam Express; dual-capable,
CHN016,DF-26D,CSS-Unknown,China,China,Intermediate-Range Ballistic Missile,Strike,,,,5000,5000,2025,Operational,Mobile TEL,,,Solid,Declassified in 2025 parade,
CHN017,DF-27,CSS-Unknown,China,China,IRBM/ICBM,Strike,,,Hypersonic glide vehicle,5000,8000,,Operational,Mobile TEL,,,Solid,Guam/Hawaii range,
CHN018,DF-31,CSS-10,China,China,Intercontinental Ballistic Missile,Strike,,,Nuclear,8000,11200,1999,Operational,Mobile TEL,,700,Solid,First test-fired 1999,
CHN019,DF-31A,CSS-10 Mod 2,China,China,Intercontinental Ballistic Missile,Strike,,,Nuclear,11200,11200,,Operational,Mobile TEL,,850,Solid,Extended range variant,
CHN020,DF-31AG,CSS-10 Mod 3,China,China,Intercontinental Ballistic Missile,Strike,,,Nuclear,11200,11200,,Operational,Mobile TEL,,,Solid,Improved mobility variant,
CHN021,DF-31BJ,CSS-10 Mod 4,China,China,Intercontinental Ballistic Missile,Strike,,,Nuclear,11200,11200,2025,Operational,Mobile TEL,,,Solid,Declassified in 2025 parade,
CHN022,DF-41,CSS-20,China,China,Intercontinental Ballistic Missile,Strike,,,Nuclear,12000,15000,,Operational,Mobile TEL,,800,Solid,World's longest-range missile; MIRV up to 10,
CHN023,DF-61,CSS-Unknown,China,China,Intercontinental Ballistic Missile,Strike,,,Nuclear,,,,Operational,Land-based,,,Solid,Declassified in 2025 parade,
CHN024,JL-1,CSS-N-3,China,China,Submarine-Launched Ballistic Missile,Strike,,,Nuclear,1700,1700,,Operational,Submarine (Xia-class),,600,Solid,12 missiles on Xia-class,
CHN025,JL-2,CSS-N-4,China,China,Submarine-Launched Ballistic Missile,Strike,,,Nuclear,8000,8000,,Operational,Submarine (Type 094),,700,Solid,DF-31 derivative,
CHN026,JL-3,CSS-N-Unknown,China,China,Submarine-Launched Ballistic Missile,Strike,,,Nuclear MIRV-capable,8000,8000,2025,Operational,Submarine (Type 096 planned),,,Solid,Declassified in 2025 parade,
CHN027,JL-1 (Air-Launched),Jinglei-1,China,China,Air-Launched Ballistic Missile,Strike,,,Nuclear,,,,Operational,Air (H-6K bomber),,,Solid,Air-launched ballistic missile; declassified 2025,
CHN028,CJ-10,DH-10,China,China,Ground-Launched Cruise Missile,Strike,,,Conventional/nuclear,1500,2000,,Operational,Mobile TEL,,,Turbofan,Land-attack cruise missile,
CHN029,CJ-100,DF-100,China,China,GLCM/Hypersonic,Strike,,,Conventional,3000,4000,,Operational,Mobile TEL,,,Ramjet,Supersonic cruise missile; vehicle-mounted,
CHN030,YJ-12,,China,China,Anti-Ship Cruise Missile,Strike,,,HE,250,500,,Operational,Air (H-6/J-15/Fighters),,350,Ramjet,Supersonic anti-ship; Mach 2 low/3.2 high,
CHN031,YJ-15,,China,China,Anti-Ship Cruise Missile,Strike,,,HE,1200,1800,2025,Operational,Air (J-15 carrier fighter),,,Ramjet,Newest carrier-based ASM,
CHN032,YJ-17,,China,China,ASCM/Hypersonic,Strike,,,,,2025,Operational,Naval platforms,,,,New hypersonic strike missile,,
CHN033,YJ-18,,China,China,Anti-Ship Cruise Missile,Strike,,,HE,540,540,,Operational,Surface ships/Submarines,,,Turbojet/Ramjet,Russian 3M54 derivative; subsonic cruise/supersonic terminal,
CHN034,YJ-18A,C-805,China,China,Anti-Ship Cruise Missile,Strike,,,HE,540,540,,Operational,Container ship launcher,,,Turbojet/Ramjet,Deployed on missile-armed container vessels,
CHN035,YJ-18C,,China,China,Anti-Ship Cruise Missile,Strike,,,,,2025,Operational,Ship-launched,,,,,Declassified in 2025 parade,
CHN036,YJ-19,,China,China,ASCM/Hypersonic,Strike,,,,,2025,Operational,Naval platforms,,,,New hypersonic strike missile,,
CHN037,YJ-20,,China,China,ASCM/Hypersonic,Strike,,,,,2025,Operational,Naval platforms,,,,New hypersonic strike missile,,
CHN038,YJ-21,,China,China,ALBM/ASBM,Strike,,,,,2025,Operational,Air-launched,,,Solid,Air-launched ballistic anti-ship missile,,
CHN039,YJ-83,C-803,China,China,Anti-Ship Cruise Missile,Strike,,,HE,180,250,,Operational,Air (J-15/Fighters),,165,Turbojet,Subsonic anti-ship missile,
CHN040,AKF-98A,,China,China,Land-Attack Cruise Missile,Strike,,,,,2025,Operational,Air (H-6/J-15),,,Turbofan,Land-attack cruise missile,,
CHN041,HQ-9,HHQ-9,China,China,Surface-to-Air Missile,Interceptor,,,HE-fragmentation,200,250,,Operational,Surface ships/Land-based,,,Solid,Long-range air defense,
CHN042,HQ-16,,China,China,Surface-to-Air Missile,Interceptor,,,HE,40,40,,Operational,Land-based,,,Solid,Medium-range air defense,
CHN043,HQ-17,,China,China,Surface-to-Air Missile,Interceptor,,,HE,15,15,,Operational,Tracked vehicle,,,Solid,Short-range air defense,
CHN044,HQ-61,,China,China,Surface-to-Air Missile,Interceptor,,,HE,10,10,,Operational,Surface ships,,,Solid,Short-range naval SAM,
CHN045,HQ-7,FM-80,China,China,Surface-to-Air Missile,Interceptor,,,HE,12,12,,Operational,Surface ships,,,Solid,Crotale derivative,
CHN046,KS-1,,China,China,Surface-to-Air Missile,Interceptor,,,HE,40,40,,Operational,Land-based,,,Solid,Medium-range air defense,
CHN047,LY-60,,China,China,Surface-to-Air Missile,Interceptor,,,HE,18,18,,Operational,Land-based,,,Solid,Aspide derivative,
CHN048,QW-1,,China,China,Man-Portable Air Defense System,MAMPADS,,,HE,5,5,,Operational,Man-portable,,,Solid,Shoulder-launched SAM,
CHN049,V-75,,China,China,Surface-to-Air Missile,Interceptor,,,HE,45,45,,Operational,Land-based,,,Solid,S-75 derivative,
CHN050,PL-7,,China,China,Air-to-Air Missile,AAM,,,HE,14,14,,Operational,Air-launched,,,Solid,Short-range AAM,
CHN051,PL-9,,China,China,Air-to-Air Missile,AAM,,,HE,35,35,,Operational,Air-launched,,,Solid,Short-range AAM,
CHN052,PL-10,,China,China,Air-to-Air Missile,AAM,,,HE,22,22,,Operational,Air-launched,,,Solid,Short-range IR AAM,
CHN053,PL-12,SD-10,China,China,Air-to-Air Missile,AAM,,,HE,70,70,,Operational,Air-launched,,,Solid,Medium-range radar AAM,
CHN054,PL-15,,China,China,Air-to-Air Missile,AAM,,,HE,200,200,,Operational,Air-launched,,,Solid,Long-range AAM,
CHN055,PL-17,,China,China,Air-to-Air Missile,AAM,,,HE,400,400,,Operational,Air-launched,,,Solid,Very long-range AAM,
CHN056,C-101,FL-2,China,China,Anti-Ship Cruise Missile,Strike,,,HE,45,45,,Operational,Air/Ship-launched,,300,Liquid,Supersonic anti-ship,
CHN057,C-601,HY-2,China,China,Anti-Ship Cruise Missile,Strike,,,HE,100,100,,Operational,Air-launched,,513,Liquid,Subsonic anti-ship,
CHN058,C-801,YJ-8,China,China,Anti-Ship Cruise Missile,Strike,,,HE,42,42,,Operational,Ship/Air-launched,,165,Solid,Subsonic anti-ship,
CHN059,C-802,YJ-82,China,China,Anti-Ship Cruise Missile,Strike,,,HE,120,180,,Operational,Ship/Air-launched,,165,Turbojet,Improved C-801; widely exported,
CHN060,HJ-12,,China,China,Anti-Tank Guided Missile,ATGM,,,Tandem HEAT,4,4,,Operational,Man-portable/Vehicle,,,Solid,Fire-and-forget ATGM,
USA001,AGM-88G AARGM-ER,,USA,USA,Air-to-Ground Anti-Radiation Missile,Strike,4.21,361,High-explosive,,,2024,Operational,Air-launched,0.254,,Solid rocket motor,"Multi-mode guidance; F/A-18, EA-18G, F-35 integration",
USA002,RGM-184 Naval Strike Missile,AGM-184,USA (Kongsberg),USA,Anti-Ship Cruise Missile,Strike,3.96,407,High-explosive,200,200,2018,Operational,"Ship, ground, air",0.32,125,Turbojet,Low-observable; used in Navy OTH-WS and NMESIS systems,
USA003,RGM/UGM-109 Tomahawk,,USA,USA,Land-Attack Cruise Missile,Strike,5.56,1500,"High-explosive, submunitions, bunker-buster",1600,1600,1983,Operational,"Ship, submarine",0.52,450,Turbofan,Block V with improved Comms/Nav,
USA004,FGM-148 Javelin,,USA,USA,Anti-Tank Guided Missile,ATGM,1.1,22.3,Tandem-shaped charge,4,4,1996,Operational,Man-portable,0.127,,Soft-launch then rocket,"Fire-and-forget, top-attack capability",
USA005,AGM-114 Hellfire,,USA,USA,Air-to-Surface Missile,Strike,1.63,47,"HE, shaped charge, blast-fragmentation",7,11,1985,Operational,Air-launched,0.178,,Solid rocket motor,Numerous variants for different platforms,
USA006,BGM-71 TOW,,USA,USA,Anti-Tank Guided Missile,ATGM,1.34,,Shaped charge,3.75,4.5,1970,Operational,"Ground, vehicle",0.152,,Solid rocket motor,"Tube-launched, Optically tracked, Wire-guided",
USA007,MIM-104 Patriot,,USA,USA,Surface-to-Air Missile,Interceptor,5.31,900,High-explosive blast-fragmentation,160,160,1984,Operational,Ground,0.41,90,Solid rocket motor,"PAC-2, PAC-3 variants; cornerstone of theater air defense",
USA008,RIM-162 ESSM,RIM-162,USA,USA,Surface-to-Air Missile,Interceptor,3.66,280,High-explosive blast-fragmentation,50,50,2005,Operational,Ship,0.254,39,Solid rocket motor,Quad-packable in Mk 41 VLS; Block II with active seeker,
USA009,Standard Missile-3,RIM-161,USA,USA,Anti-Ballistic Missile,Interceptor,6.55,1500,Hit-to-Kill,,,2002,Operational,Ship,0.34,,3-stage solid,Aegis BMD component; exo-atmospheric interceptor,
USA010,MIM-23 Hawk,,USA,USA,Surface-to-Air Missile,Interceptor,5.08,584,High-explosive blast-fragmentation,40,40,1960,Phased out,Ground,0.37,,2-stage solid,I-Hawk variants widely used by allies,
USA011,MGM-140 ATACMS,,USA,USA,Short-Range Ballistic Missile,Strike,4,1670,"High-explosive, submunitions, unitary",165,300,1991,Operational,Ground-launched,0.61,560,Solid rocket motor,Used in M270 MLRS and HIMARS,
USA012,Precision Strike Missile,PrSM,USA,USA,Short-Range Ballistic Missile,Strike,4,,High-explosive,500,500,2023,Operational,Ground-launched,,,Solid rocket motor,Replacing ATACMS; Increment 2 (anti-ship) in development,
USA013,LGM-30G Minuteman III,,USA,USA,Intercontinental Ballistic Missile,Strike,18.3,35500,Nuclear,13000,13000,1970,Operational,Silo-based,1.67,1150,3-stage solid,Only land-based ICBM in US arsenal; part of nuclear triad,
USA014,UGM-133 Trident II D5,,USA,USA,Submarine-Launched Ballistic Missile,Strike,13.5,59000,Nuclear,12000,12000,1990,Operational,Submarine,2.11,2800,3-stage solid,Carried by Ohio-class; extremely high accuracy,
USA015,UGM-27 Polaris,,USA,USA,Submarine-Launched Ballistic Missile,Strike,9.15,15000,Nuclear,2200,4600,1960,Obsolete,Submarine,1.37,,2-stage solid,First US SLBM; A-1/A-2/A-3 variants,
USA016,UGM-73 Poseidon,C-3,USA,USA,Submarine-Launched Ballistic Missile,Strike,10.4,29000,Nuclear,4600,4600,1972,Obsolete,Submarine,1.88,,2-stage solid,MIRV capability up to 14 warheads,
USA017,AGM-129 ACM,,USA,USA,Air-Launched Cruise Missile,Strike,6.35,1680,Nuclear,3700,3700,1990,Obsolete,Air-launched,0.71,,Turbofan,Stealthy cruise missile for B-52; retired under New START,
USA018,AGM-86 ALCM,,USA,USA,Air-Launched Cruise Missile,Strike,6.32,1430,Nuclear,1300,1300,1982,Operational,Air-launched,0.69,,Turbofan,CALCM conventional variant used in combat,
USA019,AGM-158 JASSM,,USA,USA,Air-Launched Cruise Missile,Strike,4.27,1020,High-explosive,370,1000,2003,Operational,Air-launched,0.55,450,Turbojet,JASSM-ER extended range; stealthy,
USA020,RGM/UGM-84 Harpoon,,USA,USA,Anti-Ship Cruise Missile,Strike,4.63,605,High-explosive,90,280,1977,Operational,Air/ship/sub/ground,0.34,221,Turbojet,Widely used by US and allies,
USA021,AIM-9 Sidewinder,,USA,USA,Air-to-Air Missile,AAM,3,88,High-explosive,18,35,1956,Operational,Air-launched,0.127,9.5,Solid rocket,Most widely used AAM in West; many variants,
USA022,AIM-120 AMRAAM,,USA,USA,Air-to-Air Missile,AAM,3.66,152,High-explosive blast-fragmentation,50,180,1991,Operational,Air-launched,0.178,,Solid rocket,Standard medium-range AAM for US and allies,
USA023,AIM-54 Phoenix,,USA,USA,Air-to-Air Missile,AAM,4,460,High-explosive,190,190,1974,Obsolete,Air-launched,0.38,61,Solid rocket,Carried by F-14; very long range,
USA024,MIM-72 Chaparral,,USA,USA,Surface-to-Air Missile,Interceptor,2.9,86,High-explosive blast-fragmentation,8,8,1969,Obsolete,Ground,0.127,,Solid rocket,Based on AIM-9D,
USA025,FIM-92 Stinger,,USA,USA,Man-Portable Air Defense System,MAMPADS,1.52,15.2,High-explosive blast-fragmentation,4.8,8,1981,Operational,Man-portable,0.07,3,Solid rocket,Widely used MANPADS,
USA026,MIM-104D GEM,Guidance Enhanced,USA,USA,Surface-to-Air Missile,Interceptor,5.31,900,High-explosive blast-fragmentation,160,160,2005,Operational,Ground,0.41,,Solid rocket,Patriot PAC-2 variant with improved seeker,
USA027,M47 Dragon,,USA,USA,Anti-Tank Guided Missile,ATGM,1.15,14,Shaped charge,1.5,1.5,1975,Obsolete,Man-portable,0.14,,Solid rocket,Replaced by Javelin,
USA028,AGM-65 Maverick,,USA,USA,Air-to-Surface Missile,Strike,2.56,255,"High-explosive, shaped charge, penetrator",22,27,1972,Operational,Air-launched,0.3,125,Solid rocket,"Many variants; EO, Laser, or IIR guidance",
USA029,AGM-45 Shrike,,USA,USA,Anti-Radiation Missile,Strike,3.05,177,High-explosive blast-fragmentation,40,160,1965,Obsolete,Air-launched,0.2,,Solid rocket,First dedicated ARM; used in Vietnam,
USA030,AGM-88 HARM,,USA,USA,Anti-Radiation Missile,Strike,4.14,354,High-explosive blast-fragmentation,150,150,1985,Operational,Air-launched,0.25,66,Solid rocket,Standard ARM for US and allies,
USA031,SM-65 Atlas,,USA,USA,Intercontinental Ballistic Missile,Strike,25.1,130000,Nuclear,14000,14000,1959,Obsolete,Silo-based,3.05,,Liquid,First operational US ICBM,
USA032,LGM-25C Titan II,,USA,USA,Intercontinental Ballistic Missile,Strike,31.3,154000,Nuclear,15000,15000,1963,Obsolete,Silo-based,3.05,,Liquid,Longest-range US ICBM; later used as space launcher,
USA033,LGM-118A Peacekeeper,,USA,USA,Intercontinental Ballistic Missile,Strike,21.8,88500,Nuclear,9600,9600,1986,Obsolete,Silo-based,2.33,3950,3-stage solid,Most advanced US ICBM; retired under START,
USA034,PGM-17 Thor,,USA,USA,Intermediate-Range Ballistic Missile,Strike,19.8,49900,Nuclear,2400,3000,1958,Obsolete,Surface,2.44,,Liquid,First operational IRBM; deployed in UK,
USA035,MGM-31 Pershing,,USA,USA,Ballistic Missile,Strike,10.6,5950,Nuclear,740,1770,1962,Obsolete,Ground,1,,2-stage solid,"Pershing 1a (SRBM), Pershing 2 (MRBM); eliminated by INF Treaty",
USA036,MGM-52 Lance,,USA,USA,Short-Range Ballistic Missile,Strike,6.17,1410,Nuclear or conventional,130,130,1972,Obsolete,Ground,0.56,,Liquid,Replaced by ATACMS,
USA037,MGR-1 Honest John,,USA,USA,Short-Range Ballistic Missile,Strike,7.6,2700,Nuclear or conventional,37,48,1953,Obsolete,Ground,0.76,,Solid,First US nuclear-armed tactical missile,
USA038,RUR-5 ASROC,,USA,USA,Anti-Submarine Warfare,ASW,4.5,465,Nuclear depth charge or torpedo,22,22,1961,Operational,Ship,0.33,,Solid rocket,Vertical launch variant; launches torpedo,
USA039,MGM-18 Lacrosse,,USA,USA,Short-Range Ballistic Missile,Strike,5.85,1040,Nuclear or conventional,32,32,1959,Obsolete,Ground,0.52,,Solid,Inaccurate; phased out,
USA040,MIM-3 Nike Ajax,,USA,USA,Surface-to-Air Missile,Interceptor,6.4,1110,High-explosive,48,48,1954,Obsolete,Ground,0.3,,2-stage solid,First operational guided SAM,
USA041,MIM-14 Nike Hercules,,USA,USA,Surface-to-Air Missile,Interceptor,12.1,4850,Nuclear or conventional,160,160,1958,Obsolete,Ground,0.8,,Solid booster & sustainer,Could also engage surface targets,
USA042,LIM-49 Nike Zeus,,USA,USA,Anti-Ballistic Missile,Interceptor,14.7,,Nuclear,400,400,1960,Obsolete,Ground,2.44,,3-stage solid,Designed to intercept ICBMs; limited deployment,
USA043,PGM-11 Redstone,,USA,USA,Short-Range Ballistic Missile,Strike,21.1,27800,Nuclear,325,325,1958,Obsolete,Ground,1.78,,Liquid,First large US ballistic missile; launched first US astronaut,
USA044,CIM-10 Bomarc,,USA,USA,Surface-to-Air Missile,Interceptor,14.2,7000,Nuclear,450,1000,1959,Obsolete,Ground,0.89,,Ramjet with solid booster,Long-range area defense,
USA045,AIM-7 Sparrow,,USA,USA,Air-to-Air Missile,AAM,3.66,230,High-explosive blast-fragmentation,22,50,1956,Obsolete,Air-launched,0.2,,Solid rocket,Replaced by AMRAAM in most roles,
USA046,SM-62 Snark,,USA,USA,Intercontinental Cruise Missile,Strike,20.5,20000,Nuclear,10200,10200,1958,Obsolete,Ground,1.35,,Turbojet,First operational ICBM-range cruise missile,
USA047,RIM-2 Terrier,,USA,USA,Surface-to-Air Missile,Interceptor,8.1,1400,Nuclear or conventional,37,74,1956,Obsolete,Ship,0.34,,Solid rocket,Replaced by Standard Missile,
USA048,RIM-8 Talos,,USA,USA,Surface-to-Air Missile,Interceptor,9.8,3540,Nuclear or conventional,240,315,1958,Obsolete,Ship,0.71,,Ramjet with solid booster,Very long-range; later had anti-ship capability,
USA049,AGM-28 Hound Dog,,USA,USA,Air-Launched Cruise Missile,Strike,12.9,4600,Nuclear,1200,1200,1960,Obsolete,Air-launched,0.71,,Turbojet,Carried by B-52,
USA050,AGM-69 SRAM,,USA,USA,Short-Range Attack Missile,Strike,4.25,1010,Nuclear,160,560,1972,Obsolete,Air-launched,0.45,,Solid,"Standoff missile for B-52, FB-111",
IND001,Agni-I,,India,India,Short-Range Ballistic Missile,Strike,15,12000,"Conventional unitary or submunition, Nuclear",700,1200,2007,Operational,Road/rail-mobile,1,1000,Single-stage solid,First Agni series missile,
IND002,Agni-II,,India,India,Medium-Range Ballistic Missile,Strike,20,17000,Nuclear or HE,2000,3500,2004,Operational,Road/rail-mobile,1,1000,Two-stage solid,Covers major targets in region,
IND003,Agni-III,,India,India,Intermediate-Range Ballistic Missile,Strike,16.7,48300,"Nuclear, possible conventional",3000,3500,2011,Operational,"Rail-mobile, road-mobile",2,1500,Two-stage solid,Second strike capability,
IND004,Agni-IV,,India,India,Intermediate-Range Ballistic Missile,Strike,20,17000,Nuclear or conventional,3000,4000,,In development,Road,,,,,
IND004,Agni-IV,,India,India,Intermediate-Range Ballistic Missile,Strike,20,17000,Nuclear or conventional,3000,4000,,In development,Road-mobile,2,1000,Two-stage solid,Enhanced accuracy and range,
IND005,Agni-V,,India,India,Intercontinental Ballistic Missile,Strike,17.5,50000,Nuclear MIRV-capable,5000,8000,,In development,Road-mobile,2,1650,Three-stage solid,Can reach most of Asia and Europe,
IND006,BrahMos,,Russia/India,India/ Russia/ Vietnam,Supersonic Cruise Missile,Strike,8.1,2600,"HE, submunitions",300,500,,Operational,"Ground, Air, Ship, Submarine",0.67,250,Liquid-fueled ramjet,World's fastest supersonic cruise missile,
IND007,Dhanush,,India,India,Ship-Launched Ballistic Missile,Strike,8.53,5600,"Nuclear, HE, submunitions, FAE, chemical",250,400,2010,Operational,Ship-launched,1,750,Single-stage liquid,Naval version of Prithvi missile,
IND008,Exocet,,France,India,Anti-Ship Cruise Missile,Strike,5.2,762,HE fragmentation,40,180,1980,Operational,Sea/Air/Ground/Submarine,0.35,165,Solid/Turbojet,French-origin; various blocks,
IND009,Nirbhay,,India,India,Subsonic Cruise Missile,Strike,6,1550,"HE, submunitions, nuclear-capable",800,1000,,In development,,0.5,450,Turbojet,India's first indigenous subsonic cruise missile,
IND010,Prahaar,,India,India,Short-Range Ballistic Missile,Strike,7.3,1280,"Nuclear, HE, submunitions",150,150,,In development,Road-mobile,0.42,200,Single-stage solid,Quick reaction battlefield missile,
IND011,Prithvi-I,,India,India,Short-Range Ballistic Missile,Strike,9.5,4600,"Unitary blast-fragmentation, submunitions, nuclear",150,150,1996,Obsolete,Road-mobile,1,1000,Single-stage liquid,First missile developed under IGMDP,
IND012,Prithvi-II,,India,India,Short-Range Ballistic Missile,Strike,9.5,4600,"Conventional unitary, submunition, nuclear",250,350,2003,Operational,Road-mobile,1,750,Single-stage liquid,Enhanced range version,
IND013,Sagarika/Shaurya,,India,India,Short/Medium-Range Ballistic Missile,Strike,11.4,,Nuclear-capable,700,3500,,Operational,Submarine-launched,0.8,1000,Two-stage solid,Sagarika (SLBM) and Shaurya (land-based) variants,
FRA001,M51.3,,France,France,Submarine-Launched Ballistic Missile,Strike,12,52000,Nuclear,9500,9500,2025,Operational,Submarine,2.3,,Three-stage solid,"Latest SLBM variant; improved range, accuracy",
FRA002,M51.2,,France,France,Submarine-Launched Ballistic Missile,Strike,12,52000,Nuclear,9000,9000,2017,Operational,Submarine,2.3,,Three-stage solid,Previous SLBM variant,
FRA003,M51.4,,France,France,Submarine-Launched Ballistic Missile,Strike,12,52000,Nuclear,10000,10000,,In development,Submarine,2.3,,Three-stage solid,Next-generation variant; enhanced range,
FRA004,M45,,France,France,Submarine-Launched Ballistic Missile,Strike,11.1,35000,Nuclear,6000,6000,1996,Retired,Submarine,1.93,,Solid,Retired 2023,
FRA005,ASMPA,Air-Sol Moyenne Portée Amélioré,France,France,Air-Launched Cruise Missile,Nuclear Strike,5.4,860,Nuclear,500,600,2009,Operational,Air-launched,0.38,,Ramjet,Air-breathing nuclear missile; 50 TNA warheads,
FRA006,ASN4G,,France,France,Air-Launched Hypersonic Cruise Missile,Nuclear Strike,,,Nuclear,1000,1000,2035,In development,Air-launched,,,Ramjet/Scramjet,Next-gen hypersonic nuclear missile,
FRA007,MdCN,Missile de Croisière Naval,France,France,Land-Attack Cruise Missile,Strike,6.5,1400,HE,1000,1000,2015,Operational,Ship-launched,0.5,300,Turbojet,European Tomahawk equivalent,
FRA008,SCALP-EG,Storm Shadow,France/UK,France/UK,Air-Launched Cruise Missile,Strike,5.1,1300,HE penetrating,290,560,2003,Operational,Air-launched,0.48,450,Turbojet,Deep-strike conventional missile,
FRA009,Smart Cruiser/AASF,Future Air-to-Ground Weapon,France,France,Air-Launched Cruise Missile,Strike,3,250,HE,100,100,2033,In development,Air-launched,0.2,,Turbojet,SEAD/DEAD saturation attack weapon,
FRA010,Exocet AM39,,France,France,Anti-Ship Cruise Missile,Strike,4.69,670,HE semi-armor piercing,40,180,1975,Operational,Air-launched,0.35,165,Solid,Air-launched anti-ship missile,
